case_id,language,category,expected_low,expected_high,tool,mode,similarity
CASE_CODE_JAVA_022,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_023,Java,estructural,40,60,moss,cohorte,57.0
CASE_CODE_JAVA_024,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_025,Java,identico,100,100,moss,cohorte,92.0
CASE_CODE_JAVA_026,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_027,Java,estructural,40,60,moss,cohorte,74.5
CASE_CODE_JAVA_028,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_029,Java,identico,100,100,moss,cohorte,97.0
CASE_CODE_JAVA_030,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_031,Java,estructural,40,60,moss,cohorte,73.0
CASE_CODE_JAVA_032,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_033,Java,identico,100,100,moss,cohorte,97.0
CASE_CODE_JAVA_034,Java,funcional,70,90,moss,cohorte,14.0
CASE_CODE_JAVA_035,Java,estructural,40,60,moss,cohorte,94.0
CASE_CODE_JAVA_036,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_037,Java,identico,100,100,moss,cohorte,98.0
CASE_CODE_JAVA_038,Java,funcional,70,90,moss,cohorte,44.0
CASE_CODE_JAVA_039,Java,estructural,40,60,moss,cohorte,66.0
CASE_CODE_JAVA_040,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_041,Java,identico,100,100,moss,cohorte,82.0
CASE_CODE_JAVA_042,Java,funcional,70,90,moss,cohorte,18.0
CASE_CODE_JAVA_043,Java,estructural,40,60,moss,cohorte,70.0
CASE_CODE_JAVA_044,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_045,Java,identico,100,100,moss,cohorte,79.0
CASE_CODE_JAVA_046,Java,funcional,70,90,moss,cohorte,21.5
CASE_CODE_JAVA_047,Java,estructural,40,60,moss,cohorte,25.0
CASE_CODE_JAVA_048,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_049,Java,identico,100,100,moss,cohorte,85.0
CASE_CODE_JAVA_050,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_051,Java,estructural,40,60,moss,cohorte,63.0
CASE_CODE_JAVA_052,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_053,Java,identico,100,100,moss,cohorte,88.0
CASE_CODE_JAVA_054,Java,funcional,70,90,moss,cohorte,0.0
CASE_CODE_JAVA_055,Java,estructural,40,60,moss,cohorte,20.5
CASE_CODE_JAVA_056,Java,diferente,0,20,moss,cohorte,0.0
CASE_CODE_JAVA_057,Java,identico,100,100,moss,cohorte,93.0
CASE_CODE_JAVA_058,Java,funcional,70,90,moss,cohorte,10.0
CASE_CODE_JAVA_059,Java,estructural,40,60,moss,cohorte,65.5
CASE_CODE_JAVA_060,Java,diferente,0,20,moss,cohorte,0.0
