case_id,language,reference_group,similarity_category,code_a_id,code_a_filename,code_a_path,code_a_loc,code_a_methods,code_b_id,code_b_filename,code_b_path,code_b_loc,code_b_methods,expected_similarity_min,expected_similarity_max,evaluator,evaluation_date,notes
CASE_CODE_CS_018,C#,5,functional,CODE_IDENT_CS_005,CODE_IDENT_CS_005.cs,csharp/CODE_IDENT_CS_005.cs,35,1,CODE_FUN_CS_005,CODE_FUN_CS_005.cs,csharp/CODE_FUN_CS_005.cs,52,5,70,90,Rafael Navas,2025-09-02,
CASE_CODE_CS_019,C#,5,structural,CODE_IDENT_CS_005,CODE_IDENT_CS_005.cs,csharp/CODE_IDENT_CS_005.cs,35,1,CODE_ESTRU_CS_005,CODE_ESTRU_CS_005.cs,csharp/CODE_ESTRU_CS_005.cs,52,5,40,60,Rafael Navas,2025-09-02,
CASE_CODE_CS_020,C#,5,different,CODE_IDENT_CS_005,CODE_IDENT_CS_005.cs,csharp/CODE_IDENT_CS_005.cs,35,1,CODE_DIF_CS_005,CODE_DIF_CS_005.cs,csharp/CODE_DIF_CS_005.cs,118,6,0,20,Rafael Navas,2025-09-02,
CASE_CODE_CS_021,C#,6,identical,CODE_IDENT_CS_006,CODE_IDENT_CS_006.cs,csharp/CODE_IDENT_CS_006.cs,49,1,CODE_IDENT_CS_006,CODE_IDENT_CS_006.cs,csharp/CODE_IDENT_CS_006.cs,49,1,100,100,Rafael Navas,2025-09-02,
CASE_CODE_CS_022,C#,6,functional,CODE_IDENT_CS_006,CODE_IDENT_CS_006.cs,csharp/CODE_IDENT_CS_006.cs,49,1,CODE_FUN_CS_006,CODE_FUN_CS_006.cs,csharp/CODE_FUN_CS_006.cs,64,6,70,90,Rafael Navas,2025-09-02,
CASE_CODE_CS_023,C#,6,structural,CODE_IDENT_CS_006,CODE_IDENT_CS_006.cs,csharp/CODE_IDENT_CS_006.cs,49,1,CODE_ESTRU_CS_006,CODE_ESTRU_CS_006.cs,csharp/CODE_ESTRU_CS_006.cs,52,1,40,60,Rafael Navas,2025-09-02,
CASE_CODE_CS_024,C#,6,different,CODE_IDENT_CS_006,CODE_IDENT_CS_006.cs,csharp/CODE_IDENT_CS_006.cs,49,1,CODE_DIF_CS_006,CODE_DIF_CS_006.cs,csharp/CODE_DIF_CS_006.cs,112,8,0,20,Rafael Navas,2025-09-09,
CASE_CODE_CS_025,C#,7,identical,CODE_IDENT_CS_007,CODE_IDENT_CS_007.cs,csharp/CODE_IDENT_CS_007.cs,41,1,CODE_IDENT_CS_007,CODE_IDENT_CS_007.cs,csharp/CODE_IDENT_CS_007.cs,41,1,100,100,Rafael Navas,2025-09-03,
CASE_CODE_CS_026,C#,7,functional,CODE_IDENT_CS_007,CODE_IDENT_CS_007.cs,csharp/CODE_IDENT_CS_007.cs,41,1,CODE_FUN_CS_007,CODE_FUN_CS_007.cs,csharp/CODE_FUN_CS_007.cs,56,7,70,90,Rafael Navas,2025-09-03,
CASE_CODE_CS_027,C#,7,structural,CODE_IDENT_CS_007,CODE_IDENT_CS_007.cs,csharp/CODE_IDENT_CS_007.cs,41,1,CODE_ESTRU_CS_007,CODE_ESTRU_CS_007.cs,csharp/CODE_ESTRU_CS_007.cs,41,1,40,60,Rafael Navas,2025-09-03,
CASE_CODE_CS_028,C#,7,different,CODE_IDENT_CS_007,CODE_IDENT_CS_007.cs,csharp/CODE_IDENT_CS_007.cs,41,1,CODE_DIF_CS_007,CODE_DIF_CS_007.cs,csharp/CODE_DIF_CS_007.cs,207,12,0,20,Rafael Navas,2025-09-03,
CASE_CODE_CS_029,C#,8,identical,CODE_IDENT_CS_008,CODE_IDENT_CS_008.cs,csharp/CODE_IDENT_CS_008.cs,68,1,CODE_IDENT_CS_008,CODE_IDENT_CS_008.cs,csharp/CODE_IDENT_CS_008.cs,68,1,100,100,Rafael Navas,2025-09-03,
CASE_CODE_CS_030,C#,8,functional,CODE_IDENT_CS_008,CODE_IDENT_CS_008.cs,csharp/CODE_IDENT_CS_008.cs,68,1,CODE_FUN_CS_008,CODE_FUN_CS_008.cs,csharp/CODE_FUN_CS_008.cs,103,7,70,90,Rafael Navas,2025-09-03,
CASE_CODE_CS_031,C#,8,structural,CODE_IDENT_CS_008,CODE_IDENT_CS_008.cs,csharp/CODE_IDENT_CS_008.cs,68,1,CODE_ESTRU_CS_008,CODE_ESTRU_CS_008.cs,csharp/CODE_ESTRU_CS_008.cs,68,1,40,60,Rafael Navas,2025-09-03,
CASE_CODE_CS_032,C#,8,different,CODE_IDENT_CS_008,CODE_IDENT_CS_008.cs,csharp/CODE_IDENT_CS_008.cs,68,1,CODE_DIF_CS_008,CODE_DIF_CS_008.cs,csharp/CODE_DIF_CS_008.cs,275,12,0,20,Rafael Navas,2025-09-03,
CASE_CODE_CS_033,C#,9,identical,CODE_IDENT_CS_009,CODE_IDENT_CS_009.cs,csharp/CODE_IDENT_CS_009.cs,42,1,CODE_IDENT_CS_009,CODE_IDENT_CS_009.cs,csharp/CODE_IDENT_CS_009.cs,42,1,100,100,Rafael Navas,2025-09-04,
CASE_CODE_CS_034,C#,9,functional,CODE_IDENT_CS_009,CODE_IDENT_CS_009.cs,csharp/CODE_IDENT_CS_009.cs,42,1,CODE_FUN_CS_009,CODE_FUN_CS_009.cs,csharp/CODE_FUN_CS_009.cs,63,7,70,90,Rafael Navas,2025-09-04,
CASE_CODE_CS_035,C#,9,structural,CODE_IDENT_CS_009,CODE_IDENT_CS_009.cs,csharp/CODE_IDENT_CS_009.cs,42,1,CODE_ESTRU_CS_009,CODE_ESTRU_CS_009.cs,csharp/CODE_ESTRU_CS_009.cs,42,1,40,60,Rafael Navas,2025-09-04,
CASE_CODE_CS_036,C#,9,different,CODE_IDENT_CS_009,CODE_IDENT_CS_009.cs,csharp/CODE_IDENT_CS_009.cs,42,1,CODE_DIF_CS_009,CODE_DIF_CS_009.cs,csharp/CODE_DIF_CS_009.cs,114,6,0,20,Rafael Navas,2025-09-04,
CASE_CODE_CS_037,C#,10,identical,CODE_IDENT_CS_010,CODE_IDENT_CS_010.cs,csharp/CODE_IDENT_CS_010.cs,48,1,CODE_IDENT_CS_010,CODE_IDENT_CS_010.cs,csharp/CODE_IDENT_CS_010.cs,48,1,100,100,Rafael Navas,2025-09-04,
CASE_CODE_CS_038,C#,10,functional,CODE_IDENT_CS_010,CODE_IDENT_CS_010.cs,csharp/CODE_IDENT_CS_010.cs,48,1,CODE_FUN_CS_010,CODE_FUN_CS_010.cs,csharp/CODE_FUN_CS_010.cs,192,11,70,90,Rafael Navas,2025-09-04,
CASE_CODE_CS_039,C#,10,structural,CODE_IDENT_CS_010,CODE_IDENT_CS_010.cs,csharp/CODE_IDENT_CS_010.cs,48,1,CODE_ESTRU_CS_010,CODE_ESTRU_CS_010.cs,csharp/CODE_ESTRU_CS_010.cs,48,1,40,60,Rafael Navas,2025-09-04,
CASE_CODE_CS_040,C#,10,different,CODE_IDENT_CS_010,CODE_IDENT_CS_010.cs,csharp/CODE_IDENT_CS_010.cs,48,1,CODE_DIF_CS_010,CODE_DIF_CS_010.cs,csharp/CODE_DIF_CS_010.cs,172,12,0,20,Rafael Navas,2025-09-04,
CASE_CODE_CS_041,C#,11,identical,CODE_IDENT_CS_011,CODE_IDENT_CS_011.cs,csharp/CODE_IDENT_CS_011.cs,50,1,CODE_IDENT_CS_011,CODE_IDENT_CS_011.cs,csharp/CODE_IDENT_CS_011.cs,50,1,100,100,Rafael Navas,2025-09-05,
CASE_CODE_CS_042,C#,11,functional,CODE_IDENT_CS_011,CODE_IDENT_CS_011.cs,csharp/CODE_IDENT_CS_011.cs,50,1,CODE_FUN_CS_011,CODE_FUN_CS_011.cs,csharp/CODE_FUN_CS_011.cs,87,10,70,90,Rafael Navas,2025-09-05,
CASE_CODE_CS_043,C#,11,structural,CODE_IDENT_CS_011,CODE_IDENT_CS_011.cs,csharp/CODE_IDENT_CS_011.cs,50,1,CODE_ESTRU_CS_011,CODE_ESTRU_CS_011.cs,csharp/CODE_ESTRU_CS_011.cs,50,1,40,60,Rafael Navas,2025-09-05,
CASE_CODE_CS_044,C#,11,different,CODE_IDENT_CS_011,CODE_IDENT_CS_011.cs,csharp/CODE_IDENT_CS_011.cs,50,1,CODE_DIF_CS_011,CODE_DIF_CS_011.cs,csharp/CODE_DIF_CS_011.cs,96,11,0,20,Rafael Navas,2025-09-05,
CASE_CODE_CS_045,C#,12,identical,CODE_IDENT_CS_012,CODE_IDENT_CS_012.cs,csharp/CODE_IDENT_CS_012.cs,49,1,CODE_IDENT_CS_012,CODE_IDENT_CS_012.cs,csharp/CODE_IDENT_CS_012.cs,49,1,100,100,Rafael Navas,2025-09-05,
CASE_CODE_CS_046,C#,12,functional,CODE_IDENT_CS_012,CODE_IDENT_CS_012.cs,csharp/CODE_IDENT_CS_012.cs,49,1,CODE_FUN_CS_012,CODE_FUN_CS_012.cs,csharp/CODE_FUN_CS_012.cs,78,8,70,90,Rafael Navas,2025-09-05,
CASE_CODE_CS_047,C#,12,structural,CODE_IDENT_CS_012,CODE_IDENT_CS_012.cs,csharp/CODE_IDENT_CS_012.cs,49,1,CODE_ESTRU_CS_012,CODE_ESTRU_CS_012.cs,csharp/CODE_ESTRU_CS_012.cs,49,1,40,60,Rafael Navas,2025-09-05,
CASE_CODE_CS_048,C#,12,different,CODE_IDENT_CS_012,CODE_IDENT_CS_012.cs,csharp/CODE_IDENT_CS_012.cs,49,1,CODE_DIF_CS_012,CODE_DIF_CS_012.cs,csharp/CODE_DIF_CS_012.cs,199,10,0,20,Rafael Navas,2025-09-05,
CASE_CODE_CS_049,C#,13,identical,CODE_IDENT_CS_013,CODE_IDENT_CS_013.cs,csharp/CODE_IDENT_CS_013.cs,46,1,CODE_IDENT_CS_013,CODE_IDENT_CS_013.cs,csharp/CODE_IDENT_CS_013.cs,46,1,100,100,Rafael Navas,2025-09-06,
CASE_CODE_CS_050,C#,13,functional,CODE_IDENT_CS_013,CODE_IDENT_CS_013.cs,csharp/CODE_IDENT_CS_013.cs,46,1,CODE_FUN_CS_013,CODE_FUN_CS_013.cs,csharp/CODE_FUN_CS_013.cs,84,10,70,90,Rafael Navas,2025-09-06,
CASE_CODE_CS_051,C#,13,structural,CODE_IDENT_CS_013,CODE_IDENT_CS_013.cs,csharp/CODE_IDENT_CS_013.cs,46,1,CODE_ESTRU_CS_013,CODE_ESTRU_CS_013.cs,csharp/CODE_ESTRU_CS_013.cs,46,1,40,60,Rafael Navas,2025-09-06,
CASE_CODE_CS_052,C#,13,different,CODE_IDENT_CS_013,CODE_IDENT_CS_013.cs,csharp/CODE_IDENT_CS_013.cs,46,1,CODE_DIF_CS_013,CODE_DIF_CS_013.cs,csharp/CODE_DIF_CS_013.cs,231,12,0,20,Rafael Navas,2025-09-06,
CASE_CODE_CS_053,C#,14,identical,CODE_IDENT_CS_014,CODE_IDENT_CS_014.cs,csharp/CODE_IDENT_CS_014.cs,43,1,CODE_IDENT_CS_014,CODE_IDENT_CS_014.cs,csharp/CODE_IDENT_CS_014.cs,43,1,100,100,Rafael Navas,2025-09-06,
CASE_CODE_CS_054,C#,14,functional,CODE_IDENT_CS_014,CODE_IDENT_CS_014.cs,csharp/CODE_IDENT_CS_014.cs,43,1,CODE_FUN_CS_014,CODE_FUN_CS_014.cs,csharp/CODE_FUN_CS_014.cs,80,8,70,90,Rafael Navas,2025-09-06,
CASE_CODE_CS_055,C#,14,structural,CODE_IDENT_CS_014,CODE_IDENT_CS_014.cs,csharp/CODE_IDENT_CS_014.cs,43,1,CODE_ESTRU_CS_014,CODE_ESTRU_CS_014.cs,csharp/CODE_ESTRU_CS_014.cs,43,1,40,60,Rafael Navas,2025-09-06,
CASE_CODE_CS_056,C#,14,different,CODE_IDENT_CS_014,CODE_IDENT_CS_014.cs,csharp/CODE_IDENT_CS_014.cs,43,1,CODE_DIF_CS_014,CODE_DIF_CS_014.cs,csharp/CODE_DIF_CS_014.cs,164,11,0,20,Rafael Navas,2025-09-06,
CASE_CODE_CS_057,C#,15,identical,CODE_IDENT_CS_015,CODE_IDENT_CS_015.cs,csharp/CODE_IDENT_CS_015.cs,49,1,CODE_IDENT_CS_015,CODE_IDENT_CS_015.cs,csharp/CODE_IDENT_CS_015.cs,49,1,100,100,Rafael Navas,2025-09-07,
CASE_CODE_CS_058,C#,15,functional,CODE_IDENT_CS_015,CODE_IDENT_CS_015.cs,csharp/CODE_IDENT_CS_015.cs,49,1,CODE_FUN_CS_015,CODE_FUN_CS_015.cs,csharp/CODE_FUN_CS_015.cs,69,6,70,90,Rafael Navas,2025-09-07,
CASE_CODE_CS_059,C#,15,structural,CODE_IDENT_CS_015,CODE_IDENT_CS_015.cs,csharp/CODE_IDENT_CS_015.cs,49,1,CODE_ESTRU_CS_015,CODE_ESTRU_CS_015.cs,csharp/CODE_ESTRU_CS_015.cs,216,12,40,60,Rafael Navas,2025-09-07,
CASE_CODE_CS_060,C#,15,different,CODE_IDENT_CS_015,CODE_IDENT_CS_015.cs,csharp/CODE_IDENT_CS_015.cs,49,1,CODE_DIF_CS_015,CODE_DIF_CS_015.cs,csharp/CODE_DIF_CS_015.cs,49,1,0,20,Rafael Navas,2025-09-07,
CASE_CODE_JAVA_001,Java,1,identical,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,100,100,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_002,Java,1,functional,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_FUN_JAVA_001,CODE_FUN_JAVA_001.java,java/CODE_FUN_JAVA_001.java,28,4,70,90,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_003,Java,1,structural,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_ESTRU_JAVA_001,CODE_ESTRU_JAVA_001.java,java/CODE_ESTRU_JAVA_001.java,22,1,40,60,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_004,Java,1,different,CODE_IDENT_JAVA_001,CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,22,1,CODE_DIF_JAVA_001,CODE_DIF_JAVA_001.java,java/CODE_DIF_JAVA_001.java,56,7,0,20,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_005,Java,2,identical,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,100,100,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_006,Java,2,functional,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_FUN_JAVA_002,CODE_FUN_JAVA_002.java,java/CODE_FUN_JAVA_002.java,37,8,70,90,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_007,Java,2,structural,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_ESTRU_JAVA_002,CODE_ESTRU_JAVA_002.java,java/CODE_ESTRU_JAVA_002.java,23,1,40,60,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_008,Java,2,different,CODE_IDENT_JAVA_002,CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,23,1,CODE_DIF_JAVA_002,CODE_DIF_JAVA_002.java,java/CODE_DIF_JAVA_002.java,48,5,0,20,Rafael Navas,2025-09-08,
CASE_CODE_JAVA_009,Java,3,identical,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,100,100,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_010,Java,3,functional,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_FUN_JAVA_003,CODE_FUN_JAVA_003.java,java/CODE_FUN_JAVA_003.java,28,4,70,90,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_011,Java,3,structural,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_ESTRU_JAVA_003,CODE_ESTRU_JAVA_003.java,java/CODE_ESTRU_JAVA_003.java,23,1,40,60,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_012,Java,3,different,CODE_IDENT_JAVA_003,CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,23,1,CODE_DIF_JAVA_003,CODE_DIF_JAVA_003.java,java/CODE_DIF_JAVA_003.java,60,4,0,20,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_013,Java,4,identical,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,100,100,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_014,Java,4,functional,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_FUN_JAVA_004,CODE_FUN_JAVA_004.java,java/CODE_FUN_JAVA_004.java,39,4,70,90,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_015,Java,4,structural,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_ESTRU_JAVA_004,CODE_ESTRU_JAVA_004.java,java/CODE_ESTRU_JAVA_004.java,27,1,40,60,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_016,Java,4,different,CODE_IDENT_JAVA_004,CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,27,1,CODE_DIF_JAVA_004,CODE_DIF_JAVA_004.java,java/CODE_DIF_JAVA_004.java,54,6,0,20,Rafael Navas,2025-09-09,
CASE_CODE_JAVA_017,Java,5,identical,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,100,100,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_018,Java,5,functional,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_FUN_JAVA_005,CODE_FUN_JAVA_005.java,java/CODE_FUN_JAVA_005.java,45,7,70,90,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_019,Java,5,structural,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_ESTRU_JAVA_005,CODE_ESTRU_JAVA_005.java,java/CODE_ESTRU_JAVA_005.java,26,1,40,60,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_020,Java,5,different,CODE_IDENT_JAVA_005,CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,22,1,CODE_DIF_JAVA_005,CODE_DIF_JAVA_005.java,java/CODE_DIF_JAVA_005.java,80,9,0,20,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_021,Java,6,identical,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,100,100,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_022,Java,6,functional,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_FUN_JAVA_006,CODE_FUN_JAVA_006.java,java/CODE_FUN_JAVA_006.java,47,5,70,90,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_023,Java,6,structural,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_ESTRU_JAVA_006,CODE_ESTRU_JAVA_006.java,java/CODE_ESTRU_JAVA_006.java,24,1,40,60,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_024,Java,6,different,CODE_IDENT_JAVA_006,CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,24,1,CODE_DIF_JAVA_006,CODE_DIF_JAVA_006.java,java/CODE_DIF_JAVA_006.java,70,5,0,20,Rafael Navas,2025-09-10,
CASE_CODE_JAVA_025,Java,7,identical,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,100,100,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_026,Java,7,functional,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_FUN_JAVA_007,CODE_FUN_JAVA_007.java,java/CODE_FUN_JAVA_007.java,46,4,70,90,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_027,Java,7,structural,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_ESTRU_JAVA_007,CODE_ESTRU_JAVA_007.java,java/CODE_ESTRU_JAVA_007.java,27,1,40,60,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_028,Java,7,different,CODE_IDENT_JAVA_007,CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,24,1,CODE_DIF_JAVA_007,CODE_DIF_JAVA_007.java,java/CODE_DIF_JAVA_007.java,62,5,0,20,Rafael Navas,2025-09-11,
CASE_CODE_JAVA_029,Java,8,identical,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,CODE_IDENT_JAVA_008,CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,27,1,100,100,Rafael Navas,2025-09-11,
