case_id,language,similarity_category,expected_similarity_min,expected_similarity_max,llm_model,llm_provider,response_time_seconds,classified_similarity_percent,expected_similarity_percent,coincidence,true_positive,true_negative,false_positive,false_negative,accuracy_percent,sensitivity_percent,specificity_percent,justif_clarity_1to5,justif_technical_terminology_1to5,justif_logical_structure_1to5,coverage_lexical_0or1,coverage_structural_0or1,coverage_functional_0or1,coverage_style_0or1,consistency_score_justif_1to5,consistency_internal_logic_1to5,qualitative_observations,evaluation_date,evaluator,env_internet,env_cpu,env_ram,env_os
CASE_CODE_CS_006,C#,functional,70,90,GPT-5,OpenAI,30.0,85,90-70,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_006,C#,functional,70,90,Gemini 2.5 Pro,Google,26.0,78,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_006,C#,functional,70,90,DeepSeek-V3,DeepSeek,26.0,87,90-70,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_007,C#,structural,40,60,Claude Opus 4.1,Anthropic,27.0,52,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_007,C#,structural,40,60,GPT-5,OpenAI,23.0,76,60-40,0,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,4,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_007,C#,structural,40,60,Gemini 2.5 Pro,Google,29.0,58,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_007,C#,structural,40,60,DeepSeek-V3,DeepSeek,25.0,48,60-40,1,1,0,0,0,100.0,100.0,,3,5,5,1,1,1,1,4,4,Justificaciones muy pobres,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_008,C#,different,0,20,Claude Opus 4.1,Anthropic,18.0,25,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_008,C#,different,0,20,GPT-5,OpenAI,21.0,44,30-0,0,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,4,5,Porcentaje de similitud por encima de lo esperado,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_008,C#,different,0,20,Gemini 2.5 Pro,Google,26.0,21,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_008,C#,different,0,20,DeepSeek-V3,DeepSeek,26.0,15,30-0,1,1,0,0,0,100.0,100.0,,4,5,4,1,1,1,1,5,4,Justificaciones un poco pobres,2025-08-31,Rafael Navas,94.39,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_009,C#,identical,100,100,Claude Opus 4.1,Anthropic,21.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_009,C#,identical,100,100,GPT-5,OpenAI,31.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_009,C#,identical,100,100,Gemini 2.5 Pro,Google,21.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_009,C#,identical,100,100,DeepSeek-V3,DeepSeek,21.0,100,100,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,4,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_010,C#,functional,70,90,Claude Opus 4.1,Anthropic,16.0,90-70,82,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_010,C#,functional,70,90,GPT-5,OpenAI,24.0,90-70,88,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_010,C#,functional,70,90,Gemini 2.5 Pro,Google,25.0,90-70,86,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_010,C#,functional,70,90,DeepSeek-V3,DeepSeek,25.0,90-70,85,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,4,5,Justificaciones un poco pobres,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_011,C#,structural,40,60,Claude Opus 4.1,Anthropic,23.0,38,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,Porcentaje de similitud de comparación por debajo del esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_011,C#,structural,40,60,GPT-5,OpenAI,23.0,63,60-40,0,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,Porcentaje de similitud de comparación por encima del esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_011,C#,structural,40,60,Gemini 2.5 Pro,Google,27.0,43,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_011,C#,structural,40,60,DeepSeek-V3,DeepSeek,25.0,55,60-40,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,Justificaciones un poco pobres,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_012,C#,different,0,20,Claude Opus 4.1,Anthropic,22.0,8,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_012,C#,different,0,20,GPT-5,OpenAI,29.0,31,30-0,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud mayor al esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_012,C#,different,0,20,Gemini 2.5 Pro,Google,31.0,20,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_012,C#,different,0,20,DeepSeek-V3,DeepSeek,28.0,15,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_013,C#,identical,100,100,Claude Opus 4.1,Anthropic,23.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_013,C#,identical,100,100,GPT-5,OpenAI,16.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_013,C#,identical,100,100,Gemini 2.5 Pro,Google,17.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_013,C#,identical,100,100,DeepSeek-V3,DeepSeek,23.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_014,C#,functional,70,90,Claude Opus 4.1,Anthropic,27.0,74,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_014,C#,functional,70,90,GPT-5,OpenAI,21.0,76,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_014,C#,functional,70,90,Gemini 2.5 Pro,Google,29.0,81,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_014,C#,functional,70,90,DeepSeek-V3,DeepSeek,28.0,78,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_015,C#,structural,40,60,Claude Opus 4.1,Anthropic,17.0,22,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,3,5,Porcentaje de similitud por debajo del esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_015,C#,structural,40,60,GPT-5,OpenAI,22.0,60,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_015,C#,structural,40,60,Gemini 2.5 Pro,Google,26.0,35,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud por debajo del esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_015,C#,structural,40,60,DeepSeek-V3,DeepSeek,23.0,25,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,3,5,Porcentaje de similitud por debajo del esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_016,C#,different,0,20,Claude Opus 4.1,Anthropic,27.0,18,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_016,C#,different,0,20,GPT-5,OpenAI,22.0,40,30-0,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud por encima del esperado,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_016,C#,different,0,20,Gemini 2.5 Pro,Google,26.0,30,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_016,C#,different,0,20,DeepSeek-V3,DeepSeek,29.0,15,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-01,Rafael Navas,93.66,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_017,C#,identical,100,100,Claude Opus 4.1,Anthropic,18.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_017,C#,identical,100,100,GPT-5,OpenAI,15.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_017,C#,identical,100,100,Gemini 2.5 Pro,Google,20.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_017,C#,identical,100,100,DeepSeek-V3,DeepSeek,22.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_018,C#,functional,70,90,Claude Opus 4.1,Anthropic,15.0,86,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_018,C#,functional,70,90,GPT-5,OpenAI,32.0,77,90-70,1,1,0,0,0,100.0,100.0,,4,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_018,C#,functional,70,90,Gemini 2.5 Pro,Google,30.0,71,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_018,C#,functional,70,90,DeepSeek-V3,DeepSeek,25.0,80,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_019,C#,structural,40,60,Claude Opus 4.1,Anthropic,32.0,62,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,Similitud por encima de lo esperado,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_019,C#,structural,40,60,GPT-5,OpenAI,21.0,73,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_019,C#,structural,40,60,Gemini 2.5 Pro,Google,29.0,60,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,Similitud por encima de lo esperado,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_019,C#,structural,40,60,DeepSeek-V3,DeepSeek,28.0,62,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,"Similitud por encima de lo esperado, justificaciones pobres",2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_020,C#,different,0,20,Claude Opus 4.1,Anthropic,28.0,18,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_020,C#,different,0,20,GPT-5,OpenAI,27.0,30,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_020,C#,different,0,20,Gemini 2.5 Pro,Google,29.0,20,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Justificaciones pobres,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_020,C#,different,0,20,DeepSeek-V3,DeepSeek,26.0,25,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Justificaciones pobres,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_021,C#,identical,100,100,Claude Opus 4.1,Anthropic,21.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_021,C#,identical,100,100,GPT-5,OpenAI,21.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_021,C#,identical,100,100,Gemini 2.5 Pro,Google,23.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_021,C#,identical,100,100,DeepSeek-V3,DeepSeek,21.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_022,C#,functional,70,90,Claude Opus 4.1,Anthropic,29.0,68,90-70,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,Similitud por debajo de lo esperado,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_022,C#,functional,70,90,GPT-5,OpenAI,30.0,78,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_022,C#,functional,70,90,Gemini 2.5 Pro,Google,28.0,70,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_022,C#,functional,70,90,DeepSeek-V3,DeepSeek,25.0,82,90-70,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Justificaciones pobres,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_023,C#,structural,40,60,Claude Opus 4.1,Anthropic,29.0,38,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud por debajo de lo esperado,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_023,C#,structural,40,60,GPT-5,OpenAI,22.0,42,60-40,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_023,C#,structural,40,60,Gemini 2.5 Pro,Google,33.0,38,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud por debajo de lo esperado,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_023,C#,structural,40,60,DeepSeek-V3,DeepSeek,28.0,35,60-40,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-02,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_024,C#,different,0,20,Claude Opus 4.1,Anthropic,29.0,28,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-09,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_024,C#,different,0,20,GPT-5,OpenAI,26.0,35,30-0,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud por encima de lo esperado,2025-09-09,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_024,C#,different,0,20,Gemini 2.5 Pro,Google,28.0,32,30-0,0,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,4,5,Porcentaje de similitud por encima de lo esperado,2025-09-09,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_024,C#,different,0,20,DeepSeek-V3,DeepSeek,26.0,20,30-0,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-09,Rafael Navas,95.42,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_025,C#,identical,100,100,Claude Opus 4.1,Anthropic,17.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-03,Rafael Navas,95.05,Intel Corei5-10400,16 Gb,Windows 11 Pro
CASE_CODE_CS_025,C#,identical,100,100,GPT-5,OpenAI,34.0,100,100,1,1,0,0,0,100.0,100.0,,5,5,5,1,1,1,1,5,5,,2025-09-03,Rafael Navas,95.05,Intel Corei5-10400,16 Gb,Windows 11 Pro
