orden,case_id,language,code_a_path,code_b_path,categoria_evaluador2
20,CASE_CODE_CS_042,C#,csharp/CODE_IDENT_CS_011.cs,csharp/CODE_FUN_CS_011.cs,functional
21,CASE_CODE_JAVA_012,Java,java/CODE_IDENT_JAVA_003.java,java/CODE_DIF_JAVA_003.java,different
22,CASE_CODE_JAVA_037,Java,java/CODE_IDENT_JAVA_010.java,java/CODE_IDENT_JAVA_010.java,identical
23,CASE_CODE_CS_055,C#,csharp/CODE_IDENT_CS_014.cs,csharp/CODE_ESTRU_CS_014.cs,structural
24,CASE_CODE_JAVA_016,Java,java/CODE_IDENT_JAVA_004.java,java/CODE_DIF_JAVA_004.java,different
25,CASE_CODE_JAVA_011,Java,java/CODE_IDENT_JAVA_003.java,java/CODE_ESTRU_JAVA_003.java,structural
26,CASE_CODE_CS_003,C#,csharp/CODE_IDENT_CS_001.cs,csharp/CODE_ESTRU_CS_001.cs,structural
27,CASE_CODE_CS_026,C#,csharp/CODE_IDENT_CS_007.cs,csharp/CODE_FUN_CS_007.cs,functional
28,CASE_CODE_CS_001,C#,csharp/CODE_IDENT_CS_001.cs,csharp/CODE_IDENT_CS_001.cs,identical
29,CASE_CODE_JAVA_020,Java,java/CODE_IDENT_JAVA_005.java,java/CODE_DIF_JAVA_005.java,different
30,CASE_CODE_JAVA_060,Java,java/CODE_IDENT_JAVA_015.java,java/CODE_DIF_JAVA_015.java,different
31,CASE_CODE_JAVA_056,Java,java/CODE_IDENT_JAVA_014.java,java/CODE_DIF_JAVA_014.java,different
32,CASE_CODE_CS_023,C#,csharp/CODE_IDENT_CS_006.cs,csharp/CODE_ESTRU_CS_006.cs,structural
33,CASE_CODE_JAVA_009,Java,java/CODE_IDENT_JAVA_003.java,java/CODE_IDENT_JAVA_003.java,identical
34,CASE_CODE_CS_034,C#,csharp/CODE_IDENT_CS_009.cs,csharp/CODE_FUN_CS_009.cs,functional
35,CASE_CODE_JAVA_017,Java,java/CODE_IDENT_JAVA_005.java,java/CODE_IDENT_JAVA_005.java,identical
36,CASE_CODE_CS_059,C#,csharp/CODE_IDENT_CS_015.cs,csharp/CODE_ESTRU_CS_015.cs,structural
37,CASE_CODE_CS_036,C#,csharp/CODE_IDENT_CS_009.cs,csharp/CODE_DIF_CS_009.cs,different
38,CASE_CODE_CS_033,C#,csharp/CODE_IDENT_CS_009.cs,csharp/CODE_IDENT_CS_009.cs,identical
39,CASE_CODE_JAVA_005,Java,java/CODE_IDENT_JAVA_002.java,java/CODE_IDENT_JAVA_002.java,identical
40,CASE_CODE_CS_053,C#,csharp/CODE_IDENT_CS_014.cs,csharp/CODE_IDENT_CS_014.cs,identical
41,CASE_CODE_JAVA_053,Java,java/CODE_IDENT_JAVA_014.java,java/CODE_IDENT_JAVA_014.java,identical
42,CASE_CODE_CS_044,C#,csharp/CODE_IDENT_CS_011.cs,csharp/CODE_DIF_CS_011.cs,different
43,CASE_CODE_CS_010,C#,csharp/CODE_IDENT_CS_003.cs,csharp/CODE_FUN_CS_003.cs,functional
44,CASE_CODE_JAVA_045,Java,java/CODE_IDENT_JAVA_012.java,java/CODE_IDENT_JAVA_012.java,identical
45,CASE_CODE_CS_041,C#,csharp/CODE_IDENT_CS_011.cs,csharp/CODE_IDENT_CS_011.cs,identical
46,CASE_CODE_CS_006,C#,csharp/CODE_IDENT_CS_002.cs,csharp/CODE_FUN_CS_002.cs,functional
47,CASE_CODE_JAVA_041,Java,java/CODE_IDENT_JAVA_011.java,java/CODE_IDENT_JAVA_011.java,identical
48,CASE_CODE_CS_032,C#,csharp/CODE_IDENT_CS_008.cs,csharp/CODE_DIF_CS_008.cs,different
49,CASE_CODE_CS_051,C#,csharp/CODE_IDENT_CS_013.cs,csharp/CODE_ESTRU_CS_013.cs,structural
50,CASE_CODE_JAVA_040,Java,java/CODE_IDENT_JAVA_010.java,java/CODE_DIF_JAVA_010.java,different
51,CASE_CODE_JAVA_048,Java,java/CODE_IDENT_JAVA_012.java,java/CODE_DIF_JAVA_012.java,different
52,CASE_CODE_CS_045,C#,csharp/CODE_IDENT_CS_012.cs,csharp/CODE_IDENT_CS_012.cs,identical
53,CASE_CODE_JAVA_006,Java,java/CODE_IDENT_JAVA_002.java,java/CODE_FUN_JAVA_002.java,functional
54,CASE_CODE_JAVA_054,Java,java/CODE_IDENT_JAVA_014.java,java/CODE_FUN_JAVA_014.java,functional
55,CASE_CODE_JAVA_032,Java,java/CODE_IDENT_JAVA_008.java,java/CODE_DIF_JAVA_008.java,different
56,CASE_CODE_JAVA_046,Java,java/CODE_IDENT_JAVA_012.java,java/CODE_FUN_JAVA_012.java,functional
57,CASE_CODE_CS_027,C#,csharp/CODE_IDENT_CS_007.cs,csharp/CODE_ESTRU_CS_007.cs,structural
58,CASE_CODE_CS_056,C#,csharp/CODE_IDENT_CS_014.cs,csharp/CODE_DIF_CS_014.cs,different
59,CASE_CODE_JAVA_018,Java,java/CODE_IDENT_JAVA_005.java,java/CODE_FUN_JAVA_005.java,functional
60,CASE_CODE_JAVA_038,Java,java/CODE_IDENT_JAVA_010.java,java/CODE_FUN_JAVA_010.java,functional
61,CASE_CODE_JAVA_023,Java,java/CODE_IDENT_JAVA_006.java,java/CODE_ESTRU_JAVA_006.java,structural
62,CASE_CODE_CS_054,C#,csharp/CODE_IDENT_CS_014.cs,csharp/CODE_FUN_CS_014.cs,functional
63,CASE_CODE_JAVA_029,Java,java/CODE_IDENT_JAVA_008.java,java/CODE_IDENT_JAVA_008.java,identical
64,CASE_CODE_JAVA_024,Java,java/CODE_IDENT_JAVA_006.java,java/CODE_DIF_JAVA_006.java,different
65,CASE_CODE_JAVA_059,Java,java/CODE_IDENT_JAVA_015.java,java/CODE_ESTRU_JAVA_015.java,structural
66,CASE_CODE_JAVA_042,Java,java/CODE_IDENT_JAVA_011.java,java/CODE_FUN_JAVA_011.java,functional
67,CASE_CODE_CS_047,C#,csharp/CODE_IDENT_CS_012.cs,csharp/CODE_ESTRU_CS_012.cs,structural
68,CASE_CODE_JAVA_025,Java,java/CODE_IDENT_JAVA_007.java,java/CODE_IDENT_JAVA_007.java,identical
69,CASE_CODE_JAVA_047,Java,java/CODE_IDENT_JAVA_012.java,java/CODE_ESTRU_JAVA_012.java,structural
70,CASE_CODE_CS_048,C#,csharp/CODE_IDENT_CS_012.cs,csharp/CODE_DIF_CS_012.cs,different
71,CASE_CODE_CS_018,C#,csharp/CODE_IDENT_CS_005.cs,csharp/CODE_FUN_CS_005.cs,functional
72,CASE_CODE_CS_029,C#,csharp/CODE_IDENT_CS_008.cs,csharp/CODE_IDENT_CS_008.cs,identical
73,CASE_CODE_JAVA_035,Java,java/CODE_IDENT_JAVA_009.java,java/CODE_ESTRU_JAVA_009.java,structural
74,CASE_CODE_CS_058,C#,csharp/CODE_IDENT_CS_015.cs,csharp/CODE_FUN_CS_015.cs,functional
75,CASE_CODE_JAVA_030,Java,java/CODE_IDENT_JAVA_008.java,java/CODE_FUN_JAVA_008.java,functional
76,CASE_CODE_CS_043,C#,csharp/CODE_IDENT_CS_011.cs,csharp/CODE_ESTRU_CS_011.cs,structural
77,CASE_CODE_CS_004,C#,csharp/CODE_IDENT_CS_001.cs,csharp/CODE_DIF_CS_001.cs,different
78,CASE_CODE_CS_015,C#,csharp/CODE_IDENT_CS_004.cs,csharp/CODE_ESTRU_CS_004.cs,structural
79,CASE_CODE_JAVA_051,Java,java/CODE_IDENT_JAVA_013.java,java/CODE_ESTRU_JAVA_013.java,structural
80,CASE_CODE_JAVA_036,Java,java/CODE_IDENT_JAVA_009.java,java/CODE_DIF_JAVA_009.java,different
81,CASE_CODE_JAVA_014,Java,java/CODE_IDENT_JAVA_004.java,java/CODE_FUN_JAVA_004.java,functional
82,CASE_CODE_CS_007,C#,csharp/CODE_IDENT_CS_002.cs,csharp/CODE_ESTRU_CS_002.cs,structural
83,CASE_CODE_JAVA_033,Java,java/CODE_IDENT_JAVA_009.java,java/CODE_IDENT_JAVA_009.java,identical
84,CASE_CODE_CS_016,C#,csharp/CODE_IDENT_CS_004.cs,csharp/CODE_DIF_CS_004.cs,different
85,CASE_CODE_JAVA_010,Java,java/CODE_IDENT_JAVA_003.java,java/CODE_FUN_JAVA_003.java,functional
86,CASE_CODE_CS_049,C#,csharp/CODE_IDENT_CS_013.cs,csharp/CODE_IDENT_CS_013.cs,identical
87,CASE_CODE_JAVA_028,Java,java/CODE_IDENT_JAVA_007.java,java/CODE_DIF_JAVA_007.java,different
88,CASE_CODE_JAVA_002,Java,java/CODE_IDENT_JAVA_001.java,java/CODE_FUN_JAVA_001.java,functional
89,CASE_CODE_CS_052,C#,csharp/CODE_IDENT_CS_013.cs,csharp/CODE_DIF_CS_013.cs,different
90,CASE_CODE_CS_031,C#,csharp/CODE_IDENT_CS_008.cs,csharp/CODE_ESTRU_CS_008.cs,structural
91,CASE_CODE_JAVA_001,Java,java/CODE_IDENT_JAVA_001.java,java/CODE_IDENT_JAVA_001.java,identical
92,CASE_CODE_JAVA_057,Java,java/CODE_IDENT_JAVA_015.java,java/CODE_IDENT_JAVA_015.java,identical
93,CASE_CODE_JAVA_008,Java,java/CODE_IDENT_JAVA_002.java,java/CODE_DIF_JAVA_002.java,different
94,CASE_CODE_CS_020,C#,csharp/CODE_IDENT_CS_005.cs,csharp/CODE_DIF_CS_005.cs,different
95,CASE_CODE_JAVA_034,Java,java/CODE_IDENT_JAVA_009.java,java/CODE_FUN_JAVA_009.java,functional
96,CASE_CODE_JAVA_004,Java,java/CODE_IDENT_JAVA_001.java,java/CODE_DIF_JAVA_001.java,different
97,CASE_CODE_JAVA_049,Java,java/CODE_IDENT_JAVA_013.java,java/CODE_IDENT_JAVA_013.java,identical
98,CASE_CODE_JAVA_027,Java,java/CODE_IDENT_JAVA_007.java,java/CODE_ESTRU_JAVA_007.java,structural
99,CASE_CODE_CS_017,C#,csharp/CODE_IDENT_CS_005.cs,csharp/CODE_IDENT_CS_005.cs,identical
100,CASE_CODE_CS_046,C#,csharp/CODE_IDENT_CS_012.cs,csharp/CODE_FUN_CS_012.cs,functional
101,CASE_CODE_JAVA_021,Java,java/CODE_IDENT_JAVA_006.java,java/CODE_IDENT_JAVA_006.java,identical
102,CASE_CODE_CS_019,C#,csharp/CODE_IDENT_CS_005.cs,csharp/CODE_ESTRU_CS_005.cs,structural
103,CASE_CODE_CS_014,C#,csharp/CODE_IDENT_CS_004.cs,csharp/CODE_FUN_CS_004.cs,functional
104,CASE_CODE_JAVA_052,Java,java/CODE_IDENT_JAVA_013.java,java/CODE_DIF_JAVA_013.java,different
105,CASE_CODE_CS_013,C#,csharp/CODE_IDENT_CS_004.cs,csharp/CODE_IDENT_CS_004.cs,identical
106,CASE_CODE_JAVA_031,Java,java/CODE_IDENT_JAVA_008.java,java/CODE_ESTRU_JAVA_008.java,structural
107,CASE_CODE_CS_038,C#,csharp/CODE_IDENT_CS_010.cs,csharp/CODE_FUN_CS_010.cs,identical
108,CASE_CODE_JAVA_003,Java,java/CODE_IDENT_JAVA_001.java,java/CODE_ESTRU_JAVA_001.java,structural
109,CASE_CODE_JAVA_013,Java,java/CODE_IDENT_JAVA_004.java,java/CODE_IDENT_JAVA_004.java,identical
110,CASE_CODE_CS_024,C#,csharp/CODE_IDENT_CS_006.cs,csharp/CODE_DIF_CS_006.cs,different
111,CASE_CODE_CS_025,C#,csharp/CODE_IDENT_CS_007.cs,csharp/CODE_IDENT_CS_007.cs,identical
112,CASE_CODE_JAVA_055,Java,java/CODE_IDENT_JAVA_014.java,java/CODE_ESTRU_JAVA_014.java,structural
113,CASE_CODE_JAVA_050,Java,java/CODE_IDENT_JAVA_013.java,java/CODE_FUN_JAVA_013.java,functional
114,CASE_CODE_JAVA_019,Java,java/CODE_IDENT_JAVA_005.java,java/CODE_ESTRU_JAVA_005.java,structural
115,CASE_CODE_CS_050,C#,csharp/CODE_IDENT_CS_013.cs,csharp/CODE_FUN_CS_013.cs,functional
116,CASE_CODE_CS_035,C#,csharp/CODE_IDENT_CS_009.cs,csharp/CODE_ESTRU_CS_009.cs,structural
117,CASE_CODE_CS_028,C#,csharp/CODE_IDENT_CS_007.cs,csharp/CODE_DIF_CS_007.cs,different
118,CASE_CODE_CS_012,C#,csharp/CODE_IDENT_CS_003.cs,csharp/CODE_DIF_CS_003.cs,different
119,CASE_CODE_CS_039,C#,csharp/CODE_IDENT_CS_010.cs,csharp/CODE_ESTRU_CS_010.cs,structural
120,CASE_CODE_JAVA_026,Java,java/CODE_IDENT_JAVA_007.java,java/CODE_FUN_JAVA_007.java,functional
